time,ecu,status,retry
1,ECU1,OK,False
1,ECU2,OK,False
1,ECU3,OK,False
2,ECU1,OK,False
2,ECU2,OK,False
2,ECU3,OK,False
3,ECU1,OK,False
3,ECU2,OK,False
3,ECU3,FAIL,False
4,ECU1,OK,False
4,ECU2,OK,False
4,ECU3,OK,False
5,ECU1,OK,False
5,ECU2,OK,False
5,ECU3,OK,False
6,ECU1,OK,False
6,ECU2,OK,False
6,ECU3,OK,False
6,ECU3,OK,True
7,ECU1,OK,False
7,ECU2,OK,False
7,ECU3,OK,False
8,ECU1,OK,False
8,ECU2,OK,False
8,ECU3,FAIL,False
9,ECU1,OK,False
9,ECU2,OK,False
9,ECU3,OK,False
10,ECU1,OK,False
10,ECU2,OK,False
10,ECU3,OK,False
11,ECU1,OK,False
11,ECU2,FAIL,False
11,ECU3,OK,False
11,ECU3,OK,True
12,ECU1,FAIL,False
12,ECU2,OK,False
12,ECU3,OK,False
13,ECU1,OK,False
13,ECU2,OK,False
13,ECU3,OK,False
14,ECU1,FAIL,False
14,ECU2,OK,False
14,ECU3,OK,False
14,ECU2,OK,True
15,ECU1,OK,False
15,ECU2,OK,False
15,ECU3,OK,False
15,ECU1,OK,True
16,ECU1,FAIL,False
16,ECU2,OK,False
16,ECU3,OK,False
17,ECU1,OK,False
17,ECU2,FAIL,False
17,ECU3,OK,False
17,ECU1,OK,True
18,ECU1,OK,False
18,ECU2,OK,False
18,ECU3,OK,False
19,ECU1,OK,False
19,ECU2,OK,False
19,ECU3,OK,False
19,ECU1,OK,True
20,ECU1,OK,False
20,ECU2,OK,False
20,ECU3,OK,False
20,ECU2,FAIL,True
21,ECU1,OK,False
21,ECU2,FAIL,False
21,ECU3,OK,False
22,ECU1,OK,False
22,ECU2,FAIL,False
22,ECU3,OK,False
23,ECU1,OK,False
23,ECU2,OK,False
23,ECU3,OK,False
24,ECU1,OK,False
24,ECU2,OK,False
24,ECU3,OK,False
24,ECU2,OK,True
25,ECU1,FAIL,False
25,ECU2,OK,False
25,ECU3,OK,False
25,ECU2,FAIL,True
26,ECU1,OK,False
26,ECU2,OK,False
26,ECU3,OK,False
27,ECU1,OK,False
27,ECU2,FAIL,False
27,ECU3,FAIL,False
28,ECU1,OK,False
28,ECU2,OK,False
28,ECU3,OK,False
28,ECU1,OK,True
29,ECU1,OK,False
29,ECU2,OK,False
29,ECU3,FAIL,False
30,ECU1,OK,False
30,ECU2,OK,False
30,ECU3,OK,False
30,ECU2,OK,True
30,ECU3,OK,True
31,ECU1,OK,False
31,ECU2,OK,False
31,ECU3,OK,False
32,ECU1,OK,False
32,ECU2,OK,False
32,ECU3,OK,False
32,ECU3,OK,True
33,ECU1,OK,False
33,ECU2,OK,False
33,ECU3,OK,False
34,ECU1,OK,False
34,ECU2,OK,False
34,ECU3,OK,False
35,ECU1,OK,False
35,ECU2,OK,False
35,ECU3,OK,False
36,ECU1,OK,False
36,ECU2,OK,False
36,ECU3,OK,False
37,ECU1,OK,False
37,ECU2,OK,False
37,ECU3,FAIL,False
38,ECU1,OK,False
38,ECU2,OK,False
38,ECU3,OK,False
39,ECU1,OK,False
39,ECU2,OK,False
39,ECU3,OK,False
